code,num_per_ages
203096,[]
17997,[]
181925,"['2%', '44%', '30%', '15%', '9%']"
195979,[]
138113,[]
197517,"['0%', '100%', '0%', '0%', '0%']"
155356,"['6%', '61%', '19%', '10%', '4%']"
168668,"['0%', '39%', '22%', '11%', '28%']"
156023,[]
151155,[]
143776,"['0%', '38%', '31%', '15%', '15%']"
168735,"['0%', '33%', '17%', '28%', '22%']"
142683,"['1%', '41%', '29%', '15%', '13%']"
199742,[]
167675,"['0%', '0%', '100%', '0%', '0%']"
151241,"['6%', '42%', '31%', '8%', '12%']"
154667,"['3%', '47%', '29%', '16%', '5%']"
164269,"['0%', '0%', '62%', '38%', '0%']"
159366,"['3%', '41%', '39%', '13%', '3%']"
162874,"['0%', '38%', '38%', '16%', '9%']"
158180,"['3%', '47%', '25%', '19%', '7%']"
167638,"['4%', '52%', '24%', '14%', '6%']"
180209,"['1%', '33%', '32%', '24%', '10%']"
161834,"['0%', '50%', '50%', '0%', '0%']"
172454,"['5%', '61%', '22%', '9%', '3%']"
158112,"['6%', '52%', '21%', '16%', '6%']"
167651,"['2%', '38%', '30%', '21%', '8%']"
164192,"['2%', '50%', '26%', '15%', '7%']"
171744,[]
143422,"['25%', '50%', '25%', '0%', '0%']"
130811,"['50%', '25%', '0%', '25%', '0%']"
195980,[]
168749,"['10%', '63%', '21%', '4%', '2%']"
142210,"['0%', '39%', '17%', '28%', '17%']"
159892,"['3%', '51%', '24%', '16%', '6%']"
164150,"['0%', '0%', '0%', '100%', '0%']"
158191,"['4%', '44%', '26%', '18%', '7%']"
194581,[]
142255,"['1%', '48%', '30%', '15%', '6%']"
199262,[]
194416,[]
190313,[]
179338,"['0%', '0%', '0%', '100%', '0%']"
190244,"['0%', '67%', '33%', '0%', '0%']"
193100,[]
190341,[]
177332,"['0%', '33%', '33%', '0%', '33%']"
188765,"['9%', '9%', '45%', '27%', '9%']"
190723,[]
182348,"['4%', '39%', '34%', '12%', '12%']"
194398,[]
181114,"['14%', '55%', '18%', '9%', '4%']"
183854,"['1%', '37%', '33%', '21%', '9%']"
191591,[]
186342,[]
200586,[]
198329,[]
202353,[]
191633,"['4%', '18%', '43%', '31%', '3%']"
200582,[]
194723,[]
196525,[]
189141,"['6%', '49%', '25%', '14%', '6%']"
192146,"['0%', '33%', '33%', '33%', '0%']"
201218,[]
110026,[]
201669,[]
199869,[]
168972,[]
10676,"['0%', '41%', '30%', '19%', '11%']"
196581,[]
200746,[]
185935,[]
194195,[]
164956,"['0%', '83%', '17%', '0%', '0%']"
195757,[]
199236,[]
173418,[]
11003,[]
96984,"['0%', '100%', '0%', '0%', '0%']"
95473,"['0%', '100%', '0%', '0%', '0%']"
183839,[]
42869,[]
168019,"['4%', '64%', '20%', '0%', '12%']"
159863,"['19%', '56%', '19%', '6%', '0%']"
37370,[]
62341,[]
179399,"['0%', '50%', '50%', '0%', '0%']"
185150,"['0%', '80%', '13%', '7%', '0%']"
171455,"['0%', '50%', '17%', '33%', '0%']"
180385,"['67%', '33%', '0%', '0%', '0%']"
174530,"['0%', '21%', '38%', '29%', '12%']"
198607,[]
200575,[]
199406,"['0%', '60%', '0%', '20%', '20%']"
192898,[]
179307,"['4%', '55%', '25%', '10%', '5%']"
177508,"['0%', '46%', '39%', '8%', '7%']"
177400,[]
175393,"['2%', '32%', '34%', '22%', '11%']"
189001,"['2%', '50%', '27%', '12%', '9%']"
166092,"['4%', '42%', '25%', '20%', '9%']"
193970,"['25%', '25%', '50%', '0%', '0%']"
107204,[]
200784,[]
154672,"['1%', '9%', '57%', '31%', '2%']"
190729,[]
191677,"['0%', '67%', '0%', '0%', '33%']"
198749,[]
191585,"['0%', '60%', '40%', '0%', '0%']"
194870,[]
200589,[]
180025,"['2%', '36%', '28%', '28%', '6%']"
152385,"['4%', '53%', '22%', '15%', '6%']"
153620,"['6%', '66%', '18%', '6%', '4%']"
189104,[]
179879,[]
179875,"['1%', '38%', '30%', '22%', '9%']"
198754,"['0%', '17%', '50%', '17%', '17%']"
181704,"['1%', '40%', '38%', '11%', '10%']"
199876,[]
199865,[]
193570,[]
192152,[]
11547,[]
167495,[]
188471,[]
159866,"['3%', '34%', '34%', '24%', '6%']"
185933,"['3%', '34%', '27%', '26%', '10%']"
202609,[]
191998,[]
199428,[]
195105,[]
207762,[]
189357,[]
159167,[]
192624,"['0%', '75%', '12%', '0%', '12%']"
198414,[]
129407,[]
197283,[]
172118,"['1%', '6%', '56%', '35%', '2%']"
181965,[]
192148,[]
193170,[]
178143,[]
193868,[]
196389,[]
155406,[]
150657,[]
30782,[]
191560,[]
52593,[]
162148,"['0%', '55%', '18%', '9%', '18%']"
154508,"['5%', '49%', '34%', '11%', '1%']"
168405,"['8%', '56%', '10%', '22%', '4%']"
159805,"['2%', '42%', '32%', '17%', '8%']"
187366,"['0%', '6%', '73%', '20%', '0%']"
188874,[]
189260,"['5%', '50%', '23%', '15%', '6%']"
56447,[]
182049,[]
193974,[]
191940,[]
187548,[]
188469,[]
164936,[]
193870,[]
140656,"['0%', '40%', '20%', '20%', '20%']"
208974,[]
130708,[]
196978,[]
196808,[]
197281,[]
170860,"['0%', '0%', '0%', '100%', '0%']"
192141,[]
168045,"['0%', '30%', '40%', '13%', '17%']"
182360,"['5%', '44%', '22%', '23%', '7%']"
96951,"['0%', '42%', '33%', '18%', '7%']"
181381,"['1%', '32%', '32%', '23%', '12%']"
179482,"['4%', '45%', '31%', '15%', '6%']"
185838,"['2%', '41%', '35%', '15%', '7%']"
178544,"['4%', '40%', '28%', '20%', '8%']"
196570,"['0%', '50%', '0%', '50%', '0%']"
195590,[]
155399,[]
195417,[]
195982,[]
180390,"['2%', '43%', '29%', '18%', '8%']"
165828,[]
178526,"['3%', '38%', '27%', '22%', '9%']"
154029,"['1%', '43%', '36%', '12%', '9%']"
189000,"['4%', '46%', '29%', '12%', '9%']"
181703,[]
76960,"['0%', '33%', '38%', '20%', '9%']"
196380,[]
193686,[]
184520,[]
194884,[]
186614,[]
107072,[]
195431,[]
92001,[]
193173,[]
186613,"['5%', '49%', '23%', '15%', '9%']"
102802,[]
172789,[]
212271,[]
192480,[]
74902,[]
187349,"['3%', '35%', '24%', '28%', '11%']"
188057,[]
195092,[]
183110,"['3%', '42%', '27%', '19%', '9%']"
179719,[]
186611,[]
194321,[]
209442,[]
85578,"['2%', '48%', '28%', '15%', '6%']"
174807,"['1%', '40%', '45%', '7%', '7%']"
175365,"['0%', '8%', '74%', '18%', '0%']"
177975,"['0%', '0%', '0%', '100%', '0%']"
154986,"['0%', '57%', '43%', '0%', '0%']"
202670,[]
189961,[]
193833,[]
192486,[]
201657,[]
202535,[]
177510,"['10%', '62%', '16%', '6%', '6%']"
190447,"['0%', '12%', '62%', '25%', '0%']"
203213,[]
181046,"['20%', '60%', '20%', '0%', '0%']"
159070,"['1%', '31%', '22%', '25%', '20%']"
168508,[]
174294,"['0%', '55%', '9%', '18%', '18%']"
164104,"['6%', '63%', '28%', '3%', '1%']"
198774,[]
181541,[]
63850,[]
189537,"['4%', '40%', '35%', '14%', '7%']"
197339,[]
177374,"['5%', '40%', '23%', '22%', '11%']"
169078,"['4%', '43%', '26%', '17%', '10%']"
172795,[]
181971,[]
186821,"['2%', '43%', '31%', '14%', '10%']"
182355,"['2%', '42%', '30%', '19%', '6%']"
182017,[]
185340,[]
194802,[]
194803,[]
191002,[]
193856,[]
190720,"['0%', '40%', '39%', '8%', '13%']"
194318,[]
193488,[]
194726,[]
192481,[]
174808,[]
192027,[]
193921,[]
176306,"['1%', '33%', '40%', '18%', '8%']"
74407,"['5%', '61%', '25%', '4%', '4%']"
191918,[]
181695,[]
189712,"['0%', '0%', '100%', '0%', '0%']"
193828,[]
12781,[]
190806,[]
193827,[]
193079,[]
199586,[]
177509,"['1%', '27%', '28%', '32%', '11%']"
127858,"['4%', '54%', '26%', '16%', '0%']"
24008,[]
39640,"['15%', '45%', '23%', '14%', '2%']"
83410,[]
193862,[]
191759,[]
35012,[]
193124,[]
183876,"['2%', '38%', '31%', '22%', '7%']"
191518,[]
185131,"['4%', '41%', '27%', '23%', '4%']"
171540,[]
191916,[]
172113,"['11%', '57%', '13%', '15%', '4%']"
175318,"['15%', '54%', '16%', '12%', '3%']"
192361,[]
140648,[]
191686,[]
30775,[]
146534,"['1%', '29%', '32%', '26%', '11%']"
165022,"['1%', '41%', '28%', '16%', '14%']"
154419,"['1%', '52%', '30%', '10%', '7%']"
34090,[]
193864,[]
191923,[]
182387,"['6%', '58%', '25%', '6%', '5%']"
189053,"['1%', '48%', '28%', '15%', '8%']"
190026,"['3%', '44%', '34%', '9%', '9%']"
187318,[]
191641,[]
191913,[]
182046,[]
173653,"['1%', '27%', '34%', '29%', '9%']"
179430,"['16%', '68%', '12%', '4%', '0%']"
132946,"['1%', '43%', '33%', '20%', '3%']"
19302,[]
130267,"['0%', '0%', '50%', '50%', '0%']"
57412,[]
103774,[]
18782,[]
189112,[]
191932,[]
164172,"['6%', '52%', '21%', '16%', '6%']"
180381,"['19%', '54%', '11%', '14%', '2%']"
188761,[]
170475,[]
193863,[]
189971,[]
182205,"['2%', '49%', '31%', '13%', '5%']"
175404,"['0%', '53%', '29%', '12%', '6%']"
168725,[]
190597,[]
180374,"['2%', '17%', '44%', '35%', '3%']"
177381,"['7%', '40%', '28%', '24%', '0%']"
171515,[]
174797,"['0%', '42%', '29%', '17%', '12%']"
189111,"['0%', '17%', '37%', '21%', '24%']"
49230,[]
198564,[]
189049,[]
182014,"['2%', '66%', '25%', '6%', '2%']"
188056,"['1%', '42%', '41%', '11%', '5%']"
175316,"['2%', '34%', '32%', '26%', '6%']"
164968,"['0%', '100%', '0%', '0%', '0%']"
164155,"['4%', '37%', '29%', '25%', '5%']"
201288,[]
187828,[]
185272,[]
172458,[]
157052,[]
154298,"['0%', '44%', '31%', '12%', '12%']"
142266,"['4%', '43%', '16%', '22%', '15%']"
206634,[]
189670,[]
191613,[]
172392,[]
201959,[]
179158,"['4%', '41%', '30%', '18%', '8%']"
187526,"['1%', '31%', '33%', '22%', '12%']"
192608,[]
184915,[]
188990,[]
142699,"['4%', '61%', '20%', '10%', '5%']"
104283,[]
179976,[]
182084,[]
188045,[]
196950,[]
190004,[]
203220,[]
192611,[]
174301,"['2%', '50%', '36%', '10%', '3%']"
189337,[]
150637,"['3%', '42%', '26%', '21%', '9%']"
140696,"['6%', '54%', '23%', '14%', '3%']"
181912,"['12%', '52%', '20%', '9%', '7%']"
168086,"['0%', '4%', '54%', '42%', '0%']"
179975,[]
168044,[]
99470,[]
171750,"['14%', '43%', '14%', '29%', '0%']"
167374,"['4%', '48%', '36%', '4%', '8%']"
192483,[]
169241,[]
192482,[]
86137,[]
162173,"['2%', '35%', '33%', '23%', '7%']"
146506,"['4%', '40%', '26%', '22%', '7%']"
121303,"['0%', '100%', '0%', '0%', '0%']"
137008,"['5%', '51%', '25%', '14%', '6%']"
154112,"['3%', '55%', '25%', '12%', '5%']"
134895,"['5%', '44%', '23%', '22%', '6%']"
144280,"['3%', '43%', '25%', '23%', '6%']"
146469,"['4%', '45%', '26%', '19%', '6%']"
127382,"['5%', '50%', '22%', '19%', '5%']"
142384,"['3%', '43%', '25%', '22%', '7%']"
146530,"['0%', '46%', '46%', '4%', '4%']"
142459,[]
143473,"['5%', '64%', '18%', '11%', '3%']"
142304,"['0%', '36%', '36%', '18%', '10%']"
175040,"['3%', '30%', '52%', '3%', '12%']"
13895,[]
174627,"['0%', '50%', '25%', '25%', '0%']"
144266,"['2%', '45%', '27%', '17%', '8%']"
172805,[]
194730,[]
193601,[]
154270,"['8%', '42%', '25%', '12%', '12%']"
187336,[]
168013,[]
168042,[]
149059,"['2%', '44%', '33%', '16%', '4%']"
164139,"['3%', '37%', '32%', '25%', '4%']"
10922,"['2%', '66%', '24%', '6%', '2%']"
39893,[]
167603,[]
179866,[]
181210,[]
56631,[]
10062,[]
180026,[]
146508,"['2%', '52%', '22%', '13%', '11%']"
160721,"['6%', '75%', '15%', '2%', '1%']"
141206,"['2%', '43%', '24%', '21%', '9%']"
157974,"['2%', '34%', '34%', '30%', '0%']"
63969,"['0%', '40%', '20%', '20%', '20%']"
58333,[]
99664,[]
168298,"['3%', '58%', '26%', '9%', '3%']"
38823,[]
140652,"['7%', '63%', '17%', '9%', '3%']"
168069,[]
83214,[]
163711,[]
186402,[]
179327,[]
193041,[]
146524,"['4%', '55%', '22%', '14%', '5%']"
153652,"['6%', '58%', '19%', '13%', '4%']"
120165,"['2%', '54%', '24%', '14%', '7%']"
172085,[]
200404,[]
41350,[]
74315,[]
93728,[]
167105,"['3%', '53%', '26%', '13%', '5%']"
91073,[]
76080,[]
82906,[]
164173,"['6%', '46%', '23%', '15%', '9%']"
165748,"['3%', '40%', '28%', '22%', '6%']"
84899,[]
110246,[]
182163,[]
159716,"['0%', '74%', '21%', '5%', '0%']"
164151,"['3%', '47%', '25%', '18%', '7%']"
92536,[]
10101,"['25%', '25%', '50%', '0%', '0%']"
148946,"['0%', '12%', '60%', '26%', '2%']"
159877,"['3%', '39%', '28%', '22%', '7%']"
155716,"['4%', '57%', '21%', '12%', '5%']"
173103,[]
168083,[]
47115,[]
30317,[]
186603,[]
72930,[]
182045,[]
175792,[]
159848,"['2%', '42%', '26%', '12%', '17%']"
159146,"['0%', '25%', '46%', '8%', '21%']"
145292,"['6%', '72%', '13%', '6%', '3%']"
186092,[]
167099,"['2%', '50%', '29%', '13%', '5%']"
92125,"['3%', '32%', '29%', '22%', '15%']"
192479,[]
184234,[]
183286,[]
184233,[]
177943,[]
65290,[]
53065,[]
144215,"['1%', '56%', '24%', '14%', '5%']"
184239,[]
192478,[]
171024,[]
31801,"['12%', '44%', '19%', '12%', '12%']"
154625,"['0%', '55%', '31%', '12%', '2%']"
168172,"['0%', '51%', '37%', '9%', '3%']"
159747,"['5%', '19%', '43%', '5%', '29%']"
37853,[]
37919,[]
83528,"['0%', '50%', '38%', '12%', '0%']"
172798,"['0%', '9%', '59%', '32%', '0%']"
161944,[]
169899,"['0%', '0%', '25%', '25%', '50%']"
160009,"['0%', '30%', '37%', '22%', '11%']"
148773,[]
39399,[]
140072,[]
179840,"['0%', '17%', '33%', '17%', '33%']"
162265,"['0%', '50%', '50%', '0%', '0%']"
75744,"['5%', '64%', '27%', '5%', '0%']"
42841,[]
72337,[]
154981,"['10%', '68%', '23%', '0%', '0%']"
146566,"['0%', '46%', '19%', '19%', '16%']"
159827,"['1%', '47%', '42%', '9%', '2%']"
175727,"['0%', '6%', '75%', '18%', '1%']"
162423,"['0%', '42%', '33%', '17%', '8%']"
159670,"['0%', '0%', '33%', '33%', '33%']"
172040,"['14%', '64%', '16%', '4%', '2%']"
159731,"['0%', '50%', '14%', '36%', '0%']"
167107,"['6%', '55%', '28%', '8%', '4%']"
75378,"['10%', '50%', '40%', '0%', '0%']"
172031,[]
54970,"['0%', '44%', '33%', '22%', '0%']"
163363,[]
159894,"['6%', '36%', '36%', '6%', '15%']"
177277,[]
18419,[]
172770,[]
192477,[]
184237,[]
153580,"['0%', '43%', '32%', '15%', '10%']"
181104,"['2%', '53%', '24%', '10%', '10%']"
184323,[]
142739,"['2%', '53%', '25%', '14%', '6%']"
99752,"['7%', '45%', '27%', '16%', '4%']"
167787,"['7%', '56%', '20%', '11%', '5%']"
159311,"['3%', '66%', '22%', '7%', '2%']"
184216,[]
180907,[]
192476,[]
170851,[]
192473,[]
192630,[]
192475,[]
192474,[]
177771,[]
154653,"['0%', '39%', '43%', '9%', '10%']"
163533,"['2%', '34%', '27%', '27%', '11%']"
152686,[]
172341,[]
164106,"['3%', '49%', '24%', '17%', '7%']"
152274,[]
152680,"['2%', '33%', '36%', '20%', '10%']"
167602,"['0%', '76%', '20%', '0%', '4%']"
113129,[]
98214,[]
183108,[]
179900,[]
184202,[]
159342,[]
165638,[]
184303,[]
210874,[]
165637,[]
159341,[]
85140,[]
103577,[]
136547,[]
121799,[]
16707,[]
88431,[]
152344,"['1%', '36%', '30%', '23%', '10%']"
192472,[]
182599,[]
182051,[]
190056,[]
163817,[]
173833,"['0%', '58%', '25%', '8%', '8%']"
137011,[]
158117,[]
99700,[]
121034,[]
181295,[]
111991,[]
107365,[]
144983,[]
168068,[]
43310,[]
182047,[]
171531,[]
157297,"['1%', '43%', '30%', '17%', '9%']"
172420,"['8%', '58%', '25%', '7%', '2%']"
181926,[]
152669,"['0%', '0%', '50%', '0%', '50%']"
154437,"['1%', '39%', '31%', '17%', '12%']"
179317,[]
182057,[]
163744,"['0%', '100%', '0%', '0%', '0%']"
140010,"['4%', '55%', '20%', '16%', '6%']"
170581,[]
168026,[]
179871,[]
182729,[]
153687,"['3%', '41%', '25%', '21%', '10%']"
96967,[]
134880,[]
192471,[]
175362,[]
111574,[]
173884,"['0%', '57%', '29%', '14%', '0%']"
179012,[]
167697,"['5%', '39%', '27%', '23%', '6%']"
179097,[]
176622,"['0%', '0%', '100%', '0%', '0%']"
167056,[]
172980,"['0%', '0%', '50%', '50%', '0%']"
178054,[]
182005,[]
143416,"['10%', '65%', '16%', '6%', '3%']"
171475,[]
156417,"['25%', '59%', '9%', '6%', '0%']"
153279,"['2%', '8%', '54%', '35%', '1%']"
145342,[]
178097,"['1%', '36%', '33%', '15%', '14%']"
172752,[]
127394,[]
165321,"['3%', '34%', '41%', '12%', '10%']"
126133,[]
92530,[]
149730,[]
158652,"['0%', '67%', '17%', '17%', '0%']"
174596,[]
132631,[]
145805,[]
176733,[]
49862,[]
113340,[]
127461,[]
181574,[]
177134,[]
172447,[]
155715,"['8%', '50%', '22%', '14%', '6%']"
159830,"['8%', '56%', '23%', '10%', '3%']"
199864,[]
158124,[]
89009,[]
168059,"['0%', '40%', '40%', '20%', '0%']"
182513,[]
177397,[]
178751,[]
195681,"['0%', '100%', '0%', '0%', '0%']"
179868,[]
168479,"['0%', '0%', '0%', '100%', '0%']"
176902,[]
171538,[]
168018,[]
192470,[]
31234,[]
142324,"['3%', '62%', '30%', '5%', '0%']"
156091,"['0%', '53%', '33%', '9%', '4%']"
175099,[]
148847,[]
180005,[]
182597,[]
157500,"['2%', '7%', '57%', '34%', '1%']"
133129,"['2%', '39%', '26%', '23%', '9%']"
140731,"['2%', '54%', '27%', '12%', '4%']"
172167,[]
172769,[]
113624,[]
109906,"['6%', '45%', '22%', '20%', '9%']"
171490,"['1%', '43%', '31%', '12%', '14%']"
163846,[]
47174,[]
167581,[]
178096,[]
169218,[]
128293,[]
133424,"['1%', '52%', '33%', '9%', '6%']"
172771,[]
191370,[]
57723,"['0%', '42%', '39%', '5%', '13%']"
36344,[]
58085,[]
35628,[]
32610,[]
48747,[]
66510,[]
191367,[]
37235,[]
34501,[]
73285,[]
89873,[]
146407,"['3%', '44%', '33%', '14%', '7%']"
35939,"['7%', '57%', '14%', '21%', '0%']"
37261,[]
49529,[]
121090,"['7%', '58%', '19%', '14%', '2%']"
91391,[]
35938,[]
89606,[]
34971,[]
36451,[]
62566,[]
158885,"['3%', '59%', '27%', '9%', '2%']"
50932,[]
152656,"['4%', '50%', '22%', '20%', '4%']"
30037,[]
36956,[]
65429,[]
39422,[]
66002,[]
136893,"['8%', '57%', '21%', '11%', '3%']"
35172,[]
88227,"['2%', '39%', '31%', '22%', '7%']"
40033,[]
39482,[]
58018,[]
41705,[]
30984,[]
52375,[]
143402,"['3%', '62%', '24%', '9%', '2%']"
83268,[]
143937,[]
45416,[]
51076,[]
149512,"['4%', '57%', '21%', '13%', '6%']"
55405,[]
158692,[]
164966,[]
192469,[]
172970,[]
151196,"['2%', '34%', '27%', '29%', '8%']"
158631,"['1%', '49%', '28%', '17%', '5%']"
179746,[]
156910,[]
146489,"['2%', '18%', '41%', '37%', '3%']"
178856,[]
74650,[]
169666,[]
172488,[]
162853,[]
168039,[]
158700,[]
178416,[]
143373,"['7%', '36%', '36%', '7%', '14%']"
145376,"['0%', '7%', '75%', '17%', '1%']"
191581,[]
143460,"['0%', '47%', '31%', '12%', '9%']"
192468,[]
178456,"['7%', '59%', '17%', '10%', '7%']"
152268,[]
110333,"['2%', '51%', '31%', '13%', '4%']"
168036,"['0%', '45%', '9%', '27%', '18%']"
163812,[]
15530,[]
34316,[]
41118,[]
27540,[]
62787,[]
26940,[]
42173,[]
172799,[]
152249,"['1%', '47%', '26%', '18%', '9%']"
92079,[]
185267,"['3%', '47%', '28%', '16%', '6%']"
181286,"['0%', '76%', '6%', '18%', '0%']"
165461,"['1%', '29%', '29%', '28%', '14%']"
152183,"['1%', '27%', '37%', '27%', '8%']"
164102,"['9%', '55%', '21%', '9%', '6%']"
160720,"['0%', '6%', '78%', '15%', '1%']"
152486,"['2%', '60%', '33%', '4%', '0%']"
155228,"['0%', '50%', '37%', '3%', '10%']"
156930,"['0%', '0%', '50%', '0%', '50%']"
147835,"['0%', '0%', '0%', '0%', '100%']"
172188,[]
10006,[]
101966,"['2%', '41%', '34%', '20%', '2%']"
47528,[]
66463,[]
45649,[]
149516,"['1%', '6%', '75%', '18%', '1%']"
134899,"['5%', '55%', '19%', '14%', '6%']"
151117,"['2%', '62%', '26%', '8%', '2%']"
138601,"['4%', '59%', '27%', '5%', '4%']"
147368,[]
161850,"['6%', '52%', '21%', '15%', '6%']"
58088,[]
130787,"['5%', '55%', '20%', '16%', '3%']"
36727,[]
34322,[]
10852,[]
16846,[]
92877,[]
60789,[]
75882,[]
165830,[]
169650,[]
41613,[]
73799,[]
137887,[]
60484,[]
17416,[]
29354,[]
38281,[]
175470,[]
199878,[]
10245,[]
168244,[]
201339,[]
178454,[]
100205,"['1%', '44%', '32%', '13%', '9%']"
170794,[]
158664,[]
152628,[]
174933,[]
16516,[]
112014,[]
123613,[]
127378,"['0%', '9%', '60%', '28%', '1%']"
164946,[]
157532,[]
181927,[]
146231,[]
164277,[]
158092,[]
152692,[]
47494,[]
144130,"['0%', '41%', '32%', '20%', '7%']"
154273,"['0%', '19%', '50%', '19%', '12%']"
117400,[]
176596,[]
171483,[]
85579,"['5%', '45%', '25%', '19%', '5%']"
74689,[]
175092,[]
116233,"['3%', '52%', '21%', '17%', '7%']"
175111,[]
184215,[]
190718,[]
28581,[]
174919,[]
12780,[]
167389,[]
37838,[]
88225,[]
194372,[]
194871,[]
162854,"['1%', '41%', '34%', '10%', '14%']"
173828,[]
166463,"['0%', '17%', '17%', '67%', '0%']"
168010,[]
206029,[]
180335,[]
173213,[]
170798,[]
