성별,연령,ott 주중 이용시간대,ott 주말 이용시간대,연도
남,50세 이상,5,3,2020
남,40대,3,3,2019
남,50세 이상,0,6,2019
남,40대,6,5,2019
남,50세 이상,0,3,2019
남,10대,3,3,2019
남,40대,3,3,2019
남,50세 이상,3,3,2019
남,40대,3,3,2019
남,40대,6,6,2019
남,30대,6,6,2019
남,30대,6,6,2019
남,50세 이상,4,6,2019
남,30대,3,6,2019
남,40대,0,0,2019
남,10대,5,5,2019
남,20대,6,4,2019
남,30대,5,5,2019
남,30대,6,6,2019
남,50세 이상,4,4,2019
남,30대,3,4,2019
남,10대,3,4,2019
남,50세 이상,6,5,2019
남,50세 이상,3,0,2019
남,50세 이상,5,4,2019
남,20대,5,3,2019
남,10대,5,5,2019
남,10대,4,4,2019
남,30대,6,5,2019
남,30대,5,3,2019
남,40대,5,5,2019
남,20대,5,4,2019
남,50세 이상,5,4,2019
남,50세 이상,2,3,2019
남,50세 이상,6,6,2019
남,50세 이상,0,4,2019
남,40대,5,5,2019
남,30대,5,5,2019
남,10대,6,4,2019
남,30대,5,2,2019
남,50세 이상,5,6,2019
남,40대,6,6,2019
남,40대,6,6,2019
남,30대,4,4,2019
남,50세 이상,5,4,2019
남,10대,4,4,2019
남,40대,6,5,2019
남,50세 이상,4,4,2019
남,20대,3,0,2019
남,10대,5,4,2019
남,40대,6,3,2019
남,50세 이상,5,5,2019
남,50세 이상,5,5,2019
남,40대,0,5,2019
남,30대,5,6,2019
남,50세 이상,6,6,2019
남,30대,3,0,2019
남,50세 이상,2,0,2019
남,10대,3,4,2019
남,20대,3,3,2019
남,30대,7,7,2019
남,10대,5,5,2019
남,30대,6,6,2019
남,50세 이상,4,6,2019
남,40대,0,3,2019
남,40대,5,5,2019
남,30대,6,5,2019
남,10대,4,4,2019
남,40대,5,5,2019
남,10대,6,6,2019
남,10대,6,4,2019
남,10대,5,4,2019
남,50세 이상,4,0,2019
남,50세 이상,3,0,2019
남,30대,5,4,2019
남,30대,5,5,2019
남,40대,6,6,2019
남,40대,5,5,2019
남,40대,3,4,2019
남,50세 이상,6,5,2019
남,30대,5,3,2019
남,40대,3,4,2019
남,50세 이상,5,5,2019
남,50세 이상,3,2,2019
남,20대,6,6,2019
남,50세 이상,5,4,2019
남,50세 이상,4,3,2019
남,30대,6,6,2019
남,40대,5,5,2019
남,50세 이상,5,2,2019
남,10대,6,6,2019
남,10대,6,6,2019
남,20대,3,4,2019
남,50세 이상,5,5,2019
남,30대,5,5,2019
남,30대,5,5,2019
남,30대,5,5,2019
남,20대,3,4,2019
남,30대,0,6,2019
남,30대,0,5,2019
남,40대,5,0,2019
남,50세 이상,5,5,2019
남,50세 이상,3,3,2019
남,20대,6,6,2019
남,30대,6,6,2019
남,20대,5,5,2019
남,10대,0,2,2019
남,30대,5,0,2019
남,50세 이상,3,5,2019
남,50세 이상,3,2,2019
남,50세 이상,4,4,2019
남,30대,5,5,2019
남,10대,6,5,2019
남,50세 이상,5,3,2019
남,50세 이상,4,4,2019
남,30대,6,6,2019
남,30대,6,6,2019
남,20대,6,4,2019
남,10대,6,2,2019
남,30대,5,5,2019
남,50세 이상,5,5,2019
남,40대,2,2,2019
남,10대,3,3,2019
남,10대,3,5,2019
남,50세 이상,4,4,2019
남,30대,3,4,2019
남,30대,1,5,2019
남,50세 이상,3,4,2019
남,10대,7,5,2019
남,30대,3,6,2019
남,40대,3,6,2019
남,20대,7,7,2019
남,50세 이상,0,3,2019
남,20대,6,6,2019
남,40대,6,5,2019
남,40대,5,6,2019
남,30대,0,6,2019
남,50세 이상,4,4,2019
남,50세 이상,1,1,2019
남,30대,0,6,2019
남,50세 이상,3,0,2019
남,40대,3,4,2019
남,40대,5,4,2019
남,50세 이상,4,4,2019
남,20대,6,4,2019
남,40대,3,3,2019
남,40대,0,5,2019
남,40대,2,4,2019
남,30대,6,6,2019
남,20대,5,5,2019
남,30대,5,5,2019
남,40대,0,6,2019
남,40대,5,0,2019
남,30대,6,3,2019
남,50세 이상,4,4,2019
남,10대,5,5,2019
남,30대,3,6,2019
남,40대,6,6,2019
남,20대,5,5,2019
남,20대,6,6,2019
남,40대,4,4,2019
남,40대,5,6,2019
남,20대,3,4,2019
남,10대,4,3,2019
남,50세 이상,5,5,2019
남,40대,6,5,2019
남,10대,6,6,2019
남,40대,4,5,2019
남,40대,0,4,2019
남,40대,6,6,2019
남,20대,5,5,2019
남,10대,6,5,2019
남,40대,6,2,2019
남,10대,4,4,2019
남,30대,5,5,2019
남,40대,3,3,2019
남,30대,5,5,2019
남,30대,4,4,2019
남,30대,6,6,2019
남,40대,3,3,2019
남,40대,6,6,2019
남,30대,0,3,2019
남,30대,6,6,2019
남,30대,0,6,2019
남,10대,6,6,2019
남,30대,6,6,2019
남,50세 이상,5,5,2019
남,40대,6,6,2019
남,40대,5,5,2019
남,40대,4,4,2019
남,30대,7,6,2019
남,40대,5,5,2019
남,30대,6,6,2019
남,30대,0,3,2019
남,40대,6,6,2019
남,20대,6,3,2019
남,20대,6,5,2019
남,50세 이상,6,0,2019
남,50세 이상,6,4,2019
남,40대,3,3,2019
남,40대,5,4,2019
남,50세 이상,6,6,2019
남,50세 이상,6,6,2019
남,50세 이상,5,5,2019
남,30대,4,0,2019
남,30대,6,6,2019
남,50세 이상,5,5,2019
남,30대,0,7,2019
남,30대,1,6,2019
남,30대,6,7,2019
남,40대,5,4,2019
남,30대,5,5,2019
남,30대,0,3,2019
남,50세 이상,6,6,2019
남,40대,6,0,2019
남,30대,5,5,2019
남,30대,3,3,2019
남,10대,6,6,2019
남,40대,6,6,2019
남,50세 이상,5,5,2019
남,30대,6,6,2019
남,50세 이상,6,4,2019
남,10대,4,4,2019
남,30대,3,7,2019
남,50세 이상,0,6,2019
남,40대,3,0,2019
남,50세 이상,3,3,2019
남,20대,5,5,2019
남,30대,4,4,2019
남,50세 이상,5,5,2019
남,50세 이상,2,2,2019
남,10대,6,5,2019
남,50세 이상,3,3,2019
남,40대,3,3,2019
남,10대,4,3,2019
남,50세 이상,3,3,2019
남,50세 이상,6,4,2019
남,50세 이상,6,0,2019
남,40대,3,6,2019
남,50세 이상,3,4,2019
남,50세 이상,3,3,2019
남,40대,6,0,2019
남,40대,6,6,2019
남,10대,6,6,2019
남,30대,6,6,2019
남,50세 이상,6,3,2019
남,40대,6,4,2019
남,50세 이상,3,4,2019
남,30대,6,0,2019
남,30대,5,3,2019
남,50세 이상,3,3,2019
남,50세 이상,3,3,2019
남,20대,5,3,2019
남,50세 이상,4,3,2019
남,50세 이상,4,0,2019
남,30대,6,0,2019
남,50세 이상,0,5,2019
남,40대,6,6,2019
남,50세 이상,0,4,2019
남,20대,6,6,2019
남,10대,7,6,2019
남,40대,6,6,2019
남,50세 이상,6,6,2019
남,20대,4,6,2019
남,50세 이상,5,5,2019
남,50세 이상,5,0,2019
남,50세 이상,4,4,2019
남,30대,6,5,2019
남,30대,5,5,2019
남,40대,7,0,2019
남,40대,0,6,2019
남,50세 이상,5,4,2019
남,50세 이상,3,4,2019
남,50세 이상,6,6,2019
남,50세 이상,0,3,2019
남,20대,6,0,2019
남,30대,6,6,2019
남,40대,3,3,2019
남,50세 이상,4,4,2019
남,30대,0,6,2019
남,40대,3,3,2019
남,50세 이상,0,5,2019
남,20대,6,0,2019
남,30대,6,0,2019
남,50세 이상,6,6,2019
남,30대,6,6,2019
남,50세 이상,3,0,2019
남,30대,5,5,2019
남,20대,3,3,2019
남,20대,6,6,2019
남,50세 이상,4,3,2019
남,30대,4,4,2019
남,50세 이상,3,6,2019
남,40대,5,4,2019
남,30대,1,3,2019
남,40대,6,6,2019
남,50세 이상,0,4,2019
남,50세 이상,4,0,2019
남,50세 이상,6,6,2019
남,40대,4,4,2019
남,20대,5,5,2019
남,30대,3,3,2019
남,20대,3,3,2019
남,40대,1,6,2019
남,50세 이상,3,4,2019
남,50세 이상,3,3,2019
남,50세 이상,3,6,2019
남,50세 이상,6,6,2019
남,50세 이상,7,7,2019
남,40대,5,4,2019
남,40대,3,4,2019
남,40대,6,6,2019
남,50세 이상,3,4,2020
남,30대,6,4,2020
남,30대,3,4,2020
남,40대,6,4,2020
남,40대,5,3,2020
남,30대,6,6,2020
남,50세 이상,3,4,2020
남,30대,3,0,2020
남,50세 이상,4,4,2020
남,10대,3,4,2020
남,20대,4,4,2020
남,30대,5,4,2020
남,50세 이상,6,4,2020
남,10대,5,3,2020
남,20대,6,2,2020
남,10대,3,6,2020
남,40대,3,3,2020
남,40대,5,2,2020
남,50세 이상,6,4,2020
남,50세 이상,0,3,2020
남,40대,5,4,2020
남,50세 이상,4,4,2020
남,50세 이상,3,4,2020
남,50세 이상,0,0,2020
남,20대,4,3,2020
남,20대,6,6,2020
남,40대,5,5,2020
남,40대,5,4,2020
남,20대,4,4,2020
남,20대,5,6,2020
남,50세 이상,7,7,2020
남,50세 이상,5,3,2020
남,50세 이상,5,5,2020
남,50세 이상,5,4,2020
남,20대,6,6,2020
남,10대,5,5,2020
남,50세 이상,2,3,2020
남,40대,2,0,2020
남,30대,5,4,2020
남,30대,5,0,2019
남,50세 이상,4,6,2019
남,40대,0,5,2019
남,10대,4,0,2019
남,40대,6,6,2019
남,40대,2,3,2019
남,50세 이상,6,6,2019
남,30대,1,0,2019
남,50세 이상,6,5,2019
남,30대,1,0,2019
남,30대,5,0,2019
남,50세 이상,6,3,2019
남,50세 이상,5,5,2019
남,20대,6,6,2019
남,50세 이상,2,4,2019
남,40대,6,5,2019
남,40대,5,0,2019
남,50세 이상,5,5,2019
남,40대,5,3,2019
남,50세 이상,0,4,2020
남,50세 이상,6,3,2020
남,40대,4,3,2020
남,30대,4,0,2020
남,30대,6,4,2020
남,30대,6,2,2020
남,20대,6,6,2020
남,30대,6,4,2020
남,30대,5,5,2020
남,30대,3,4,2019
남,40대,4,4,2019
남,50세 이상,6,3,2019
남,50세 이상,6,6,2019
남,30대,5,0,2019
남,40대,3,4,2019
남,40대,5,0,2019
남,40대,4,4,2019
남,20대,5,5,2019
남,50세 이상,6,0,2020
남,40대,6,0,2020
남,50세 이상,3,3,2020
남,30대,6,6,2020
남,20대,6,6,2020
남,50세 이상,5,5,2020
남,50세 이상,4,0,2020
남,50세 이상,4,3,2020
남,40대,6,4,2020
남,50세 이상,3,3,2020
남,30대,7,4,2020
남,30대,3,5,2020
남,20대,6,4,2020
남,30대,6,4,2020
남,20대,6,5,2020
남,40대,5,5,2020
남,40대,5,5,2020
남,40대,0,4,2020
남,10대,6,6,2020
남,40대,3,5,2020
남,30대,6,4,2020
남,50세 이상,7,0,2020
남,40대,4,0,2020
남,20대,4,4,2020
남,50세 이상,3,4,2020
남,30대,4,4,2020
남,30대,3,3,2020
남,10대,6,6,2020
남,50세 이상,6,6,2020
남,20대,3,3,2020
남,50세 이상,5,5,2020
남,20대,5,5,2020
남,20대,6,5,2020
남,50세 이상,5,4,2020
남,50세 이상,6,3,2020
남,40대,3,4,2020
남,50세 이상,4,2,2020
남,30대,5,4,2020
남,50세 이상,4,4,2020
남,20대,5,5,2020
남,40대,5,0,2020
남,20대,4,4,2020
남,50세 이상,3,3,2020
남,30대,6,3,2020
남,50세 이상,4,0,2020
남,20대,5,6,2020
남,20대,5,4,2020
남,40대,5,5,2020
남,50세 이상,3,5,2020
남,50세 이상,4,0,2020
남,40대,4,4,2020
남,20대,7,6,2020
남,50세 이상,4,0,2020
남,40대,5,4,2020
남,40대,3,6,2020
남,20대,6,6,2020
남,50세 이상,4,3,2020
남,30대,6,6,2020
남,30대,1,1,2020
남,30대,4,4,2020
남,30대,5,4,2020
남,40대,3,5,2020
남,40대,5,4,2020
남,50세 이상,4,3,2020
남,40대,6,3,2020
남,30대,4,5,2020
남,30대,6,0,2020
남,30대,5,3,2020
남,50세 이상,3,4,2020
남,30대,5,5,2020
남,50세 이상,5,3,2020
남,30대,3,6,2020
남,50세 이상,4,0,2020
남,30대,6,6,2020
남,10대,6,6,2020
남,50세 이상,5,3,2020
남,30대,5,6,2020
남,30대,6,7,2019
남,20대,4,4,2019
남,10대,6,6,2019
남,50세 이상,4,0,2019
남,40대,3,3,2019
남,30대,0,3,2019
남,50세 이상,2,2,2019
남,50세 이상,5,5,2019
남,50세 이상,0,2,2019
남,40대,3,0,2019
남,40대,5,0,2019
남,30대,0,3,2019
남,30대,3,3,2019
남,10대,5,5,2019
남,40대,0,3,2019
남,40대,5,2,2019
남,40대,5,5,2019
남,40대,0,5,2019
남,50세 이상,4,4,2019
남,50세 이상,3,3,2019
남,50세 이상,6,6,2019
남,50세 이상,4,4,2019
남,30대,1,0,2019
남,50세 이상,7,7,2019
남,30대,3,3,2019
남,50세 이상,3,0,2019
남,30대,6,6,2019
남,30대,6,6,2019
남,30대,3,3,2019
남,50세 이상,4,4,2019
남,40대,3,3,2019
남,20대,7,7,2019
남,50세 이상,5,0,2019
남,50세 이상,4,0,2019
남,50세 이상,5,0,2019
남,50세 이상,3,0,2019
남,10대,4,5,2019
남,30대,7,6,2019
남,30대,5,5,2019
남,50세 이상,4,0,2019
남,30대,3,6,2019
남,50세 이상,4,4,2019
남,20대,6,6,2019
남,30대,6,6,2019
남,40대,3,0,2019
남,30대,5,5,2019
남,50세 이상,4,4,2019
남,50세 이상,5,4,2019
남,40대,3,4,2019
남,20대,5,6,2019
남,20대,4,4,2019
남,40대,6,5,2019
남,40대,1,4,2019
남,40대,3,0,2019
남,40대,3,0,2019
남,40대,3,0,2019
남,20대,6,6,2019
남,30대,5,0,2019
남,30대,5,5,2019
남,20대,6,7,2019
남,50세 이상,4,4,2019
남,30대,0,2,2019
남,30대,6,6,2019
남,50세 이상,6,2,2019
남,30대,6,5,2019
남,50세 이상,4,5,2019
남,30대,6,4,2019
남,30대,4,4,2019
남,50세 이상,5,5,2019
남,50세 이상,6,6,2019
남,40대,0,3,2019
남,50세 이상,3,3,2019
남,40대,6,6,2019
남,50세 이상,4,0,2019
남,30대,3,2,2019
남,50세 이상,6,6,2019
남,50세 이상,4,4,2019
남,30대,6,6,2019
남,20대,5,5,2019
남,50세 이상,5,5,2019
남,30대,1,4,2019
남,20대,0,3,2019
남,50세 이상,2,2,2019
남,50세 이상,5,4,2019
남,50세 이상,6,3,2019
남,50세 이상,4,4,2019
남,50세 이상,5,5,2019
남,20대,3,3,2019
남,50세 이상,6,6,2019
남,10대,6,5,2019
남,50세 이상,3,3,2019
남,40대,6,5,2019
남,40대,5,4,2019
남,50세 이상,4,0,2019
남,50세 이상,6,4,2019
남,20대,3,0,2019
남,20대,3,4,2019
남,40대,6,5,2019
남,40대,5,5,2019
남,50세 이상,3,4,2019
남,50세 이상,0,4,2019
남,40대,3,0,2019
남,30대,0,6,2019
남,10대,4,5,2019
남,20대,5,2,2019
남,50세 이상,4,0,2019
남,40대,3,3,2019
남,40대,5,4,2019
남,10대,5,5,2019
남,30대,4,4,2019
남,30대,3,0,2019
남,40대,3,4,2019
남,20대,0,5,2019
남,40대,5,6,2019
남,50세 이상,3,3,2019
남,10대,6,6,2019
남,10대,4,4,2019
남,40대,4,5,2019
남,10대,5,0,2019
남,50세 이상,4,5,2019
남,30대,6,6,2019
남,50세 이상,3,0,2019
남,30대,6,3,2019
남,40대,0,3,2019
남,50세 이상,6,6,2019
남,50세 이상,5,4,2019
남,40대,5,0,2019
남,20대,5,6,2019
남,40대,3,2,2019
남,30대,6,6,2019
남,50세 이상,5,5,2019
남,50세 이상,0,3,2019
남,50세 이상,4,0,2019
남,50세 이상,3,3,2019
남,50세 이상,3,0,2019
남,50세 이상,5,6,2019
남,30대,6,6,2019
남,30대,3,3,2019
남,50세 이상,5,4,2019
남,40대,4,4,2019
남,40대,6,6,2019
남,30대,0,6,2019
남,30대,0,6,2019
남,50세 이상,5,4,2019
남,50세 이상,3,3,2019
남,40대,6,3,2019
남,50세 이상,4,3,2019
남,10대,6,6,2019
남,40대,5,5,2019
남,50세 이상,6,4,2019
남,10대,5,5,2019
남,40대,0,4,2019
남,10대,6,6,2019
남,20대,3,3,2019
남,40대,5,5,2019
남,50세 이상,0,4,2019
남,10대,5,3,2020
남,50세 이상,6,3,2019
남,50세 이상,3,0,2019
남,20대,5,4,2019
남,50세 이상,4,4,2019
남,20대,6,6,2019
남,20대,0,0,2019
남,20대,7,7,2019
남,50세 이상,4,3,2019
남,30대,7,7,2019
남,30대,0,0,2019
남,20대,5,5,2019
남,50세 이상,0,6,2019
남,40대,5,5,2019
남,40대,2,2,2019
남,50세 이상,2,2,2019
남,20대,3,3,2019
남,50세 이상,2,0,2019
남,20대,0,4,2019
남,30대,3,0,2019
남,40대,6,2,2019
남,40대,6,4,2019
남,20대,0,0,2019
남,50세 이상,6,5,2019
남,20대,6,6,2019
남,50세 이상,5,5,2019
남,50세 이상,3,0,2019
남,30대,1,7,2019
남,40대,3,4,2019
남,30대,6,6,2019
남,40대,0,5,2019
남,20대,6,5,2019
남,50세 이상,3,0,2019
남,50세 이상,6,6,2019
남,10대,0,6,2019
남,50세 이상,3,3,2019
남,40대,6,6,2019
남,40대,6,6,2019
남,50세 이상,3,3,2019
남,30대,6,6,2019
남,50세 이상,3,3,2019
남,50세 이상,3,3,2019
남,40대,4,4,2019
남,50세 이상,3,3,2019
남,40대,3,3,2019
남,40대,7,7,2019
남,50세 이상,3,0,2019
남,50세 이상,3,3,2019
남,30대,6,6,2019
남,30대,5,5,2019
남,50세 이상,5,6,2019
남,40대,5,5,2019
남,30대,3,5,2019
남,30대,6,6,2019
남,20대,6,6,2019
남,10대,6,5,2019
남,50세 이상,3,3,2019
남,50세 이상,3,3,2019
남,50세 이상,3,3,2019
남,50세 이상,5,5,2019
남,50세 이상,3,2,2019
남,20대,7,0,2019
남,30대,6,6,2019
남,50세 이상,4,4,2019
남,30대,5,6,2019
남,30대,0,5,2019
남,40대,6,3,2019
남,30대,5,0,2019
남,10대,7,7,2019
남,40대,6,7,2019
남,50세 이상,6,5,2019
남,20대,5,3,2019
남,50세 이상,3,0,2019
남,50세 이상,5,5,2019
남,20대,3,6,2019
남,10대,7,7,2019
남,40대,5,3,2019
남,20대,6,6,2019
남,40대,3,0,2019
남,40대,3,4,2019
남,40대,3,3,2019
남,40대,4,5,2019
남,50세 이상,4,0,2019
남,50세 이상,5,5,2019
남,40대,4,5,2019
남,40대,6,4,2019
남,30대,5,4,2019
남,30대,5,3,2019
남,30대,3,3,2019
남,20대,7,7,2019
남,40대,1,5,2019
남,30대,5,4,2019
남,40대,6,6,2019
남,50세 이상,3,3,2019
남,30대,6,4,2019
남,50세 이상,3,3,2019
남,50세 이상,3,3,2019
남,40대,6,6,2019
남,50세 이상,3,0,2019
남,20대,4,4,2019
남,50세 이상,0,3,2019
남,10대,6,2,2019
남,40대,7,7,2019
남,40대,6,6,2019
남,40대,0,0,2019
남,40대,3,3,2019
남,20대,5,5,2019
남,10대,3,3,2019
남,30대,5,0,2019
남,10대,6,5,2019
남,40대,5,5,2019
남,10대,0,3,2019
남,40대,0,4,2019
남,50세 이상,4,4,2019
남,30대,6,6,2019
남,20대,6,6,2019
남,40대,6,3,2019
남,50세 이상,6,3,2019
남,50세 이상,6,6,2019
남,30대,0,4,2019
남,40대,5,5,2019
남,50세 이상,3,0,2019
남,50세 이상,6,6,2019
남,30대,5,5,2019
남,40대,6,4,2019
남,30대,4,4,2019
남,20대,6,6,2019
남,40대,6,6,2019
남,50세 이상,3,3,2019
남,40대,6,6,2019
남,30대,5,4,2019
남,50세 이상,0,5,2019
남,20대,6,6,2019
남,20대,6,6,2019
남,20대,6,6,2019
남,50세 이상,6,6,2019
남,30대,0,6,2019
남,20대,5,4,2019
남,10대,6,6,2019
남,40대,6,6,2019
남,50세 이상,5,5,2019
남,50세 이상,5,5,2019
남,40대,6,3,2019
남,50세 이상,6,4,2019
남,50세 이상,5,2,2019
남,40대,4,4,2019
남,20대,6,6,2019
남,50세 이상,3,6,2019
남,50세 이상,4,4,2019
남,30대,0,6,2019
남,50세 이상,5,5,2019
남,20대,4,4,2019
남,30대,6,0,2019
남,20대,5,4,2019
남,30대,6,6,2019
남,10대,4,5,2019
남,40대,2,2,2019
남,40대,3,6,2019
남,20대,6,6,2019
남,50세 이상,6,6,2019
남,50세 이상,5,5,2019
남,20대,6,4,2019
남,50세 이상,3,3,2019
남,20대,4,5,2019
남,20대,6,6,2019
남,20대,6,6,2019
남,50세 이상,3,4,2019
남,50세 이상,3,3,2019
남,20대,6,6,2019
남,40대,3,0,2019
남,50세 이상,3,0,2019
남,50세 이상,3,3,2019
남,40대,5,5,2019
남,10대,3,3,2019
남,40대,2,5,2019
남,20대,5,5,2019
남,50세 이상,3,3,2019
남,40대,3,3,2019
남,50세 이상,3,3,2019
남,20대,6,3,2019
남,30대,6,6,2019
남,20대,4,5,2019
남,30대,6,6,2019
남,30대,6,6,2019
남,20대,5,5,2019
남,30대,6,5,2019
남,20대,4,4,2019
남,40대,6,6,2019
남,40대,4,3,2019
남,50세 이상,3,0,2019
남,50세 이상,4,4,2019
남,50세 이상,4,0,2019
남,50세 이상,4,4,2019
남,40대,4,4,2019
남,10대,4,3,2019
남,50세 이상,3,3,2019
남,40대,6,3,2019
남,50세 이상,3,3,2019
남,50세 이상,6,4,2019
남,40대,2,3,2019
남,10대,6,4,2019
남,20대,3,3,2019
남,50세 이상,6,4,2019
남,50세 이상,3,2,2019
남,30대,6,3,2019
남,30대,6,4,2019
남,50세 이상,6,6,2019
남,30대,6,3,2019
남,40대,3,0,2019
남,50세 이상,6,6,2019
남,50세 이상,4,4,2019
남,30대,6,6,2019
남,40대,0,6,2019
남,20대,3,3,2019
남,50세 이상,3,3,2019
남,50세 이상,0,3,2019
남,40대,3,3,2019
남,10대,7,7,2019
남,30대,5,5,2019
남,30대,6,7,2019
남,50세 이상,0,7,2019
남,30대,5,6,2019
남,30대,6,0,2019
남,30대,3,3,2019
남,30대,6,6,2019
남,10대,6,4,2019
남,50세 이상,0,3,2019
남,50세 이상,5,5,2019
남,50세 이상,7,7,2019
남,20대,6,6,2019
남,20대,0,3,2019
남,10대,7,6,2019
남,40대,7,7,2019
남,20대,5,5,2019
남,10대,5,5,2019
남,40대,6,6,2019
남,40대,6,0,2019
남,40대,6,6,2019
남,40대,3,4,2019
남,30대,5,5,2019
남,50세 이상,3,6,2019
남,30대,3,6,2019
남,10대,6,6,2019
남,40대,6,7,2019
남,20대,4,0,2019
남,30대,6,6,2019
남,30대,6,6,2019
남,30대,6,6,2019
남,30대,3,6,2019
남,20대,3,3,2019
남,50세 이상,5,0,2019
남,50세 이상,3,3,2019
남,40대,6,6,2019
남,30대,0,0,2019
남,40대,5,5,2019
남,40대,3,3,2019
남,50세 이상,3,3,2019
남,20대,3,3,2019
남,10대,6,6,2019
남,40대,5,4,2019
남,10대,6,6,2019
